Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,5.496000,5.510000,5.379000,5.379000,4.181668,23937193
2019-03-04,5.422000,5.450000,5.321000,5.336000,4.148239,15456296
2019-03-05,5.338000,5.390000,5.245000,5.307000,4.125694,22738005
2019-03-06,5.300000,5.426000,5.290000,5.372000,4.176226,16851126
2019-03-07,5.388000,5.437000,5.172000,5.219000,4.057282,27831516
2019-03-08,5.165000,5.190000,5.093000,5.136000,3.992758,18920786
2019-03-11,5.172000,5.225000,5.130000,5.201000,4.043289,16758755
2019-03-12,5.233000,5.246000,5.150000,5.181000,4.027741,17263372
2019-03-13,5.191000,5.299000,5.180000,5.275000,4.100817,20829975
2019-03-14,5.275000,5.342000,5.264000,5.282000,4.106259,19468758
2019-03-15,5.299000,5.382000,5.270000,5.373000,4.177003,55042005
2019-03-18,5.397000,5.472000,5.390000,5.421000,4.214318,14839483
2019-03-19,5.439000,5.550000,5.412000,5.485000,4.264072,26046144
2019-03-20,5.470000,5.490000,5.418000,5.419000,4.212763,17012143
2019-03-21,5.388000,5.408000,5.341000,5.372000,4.176226,19350587
2019-03-22,5.406000,5.411000,5.163000,5.188000,4.033183,35078880
2019-03-25,5.163000,5.264000,5.119000,5.200000,4.042511,52417513
2019-03-26,5.213000,5.228000,5.127000,5.143000,3.998200,69252444
2019-03-27,5.165000,5.284000,5.093000,5.116000,3.977209,32475664
2019-03-28,5.070000,5.094000,5.005000,5.047000,3.923568,29680329
2019-03-29,5.096000,5.123000,5.051000,5.093000,3.959329,22807436
2019-04-01,5.197000,5.337000,5.156000,5.306000,4.124917,294978529
2019-04-02,5.310000,5.381000,5.282000,5.328000,4.142020,61395406
2019-04-03,5.407000,5.446000,5.386000,5.413000,4.208099,39446117
2019-04-04,5.406000,5.507000,5.382000,5.498000,4.274179,22119823
2019-04-05,5.501000,5.535000,5.481000,5.495000,4.271846,30178133
2019-04-08,5.340000,5.372000,5.308000,5.333000,4.270246,35377285
2019-04-09,5.319000,5.415000,5.316000,5.346000,4.280654,36343154
2019-04-10,5.363000,5.382000,5.268000,5.294000,4.239017,16391259
2019-04-11,5.318000,5.409000,5.270000,5.370000,4.299872,134610094
2019-04-12,5.368000,5.522000,5.325000,5.512000,4.413574,40437151
2019-04-15,5.510000,5.568000,5.425000,5.481000,4.388752,156296983
2019-04-16,5.494000,5.546000,5.453000,5.526000,4.424784,72093656
2019-04-17,5.546000,5.679000,5.525000,5.599000,4.483237,65910881
2019-04-18,5.620000,5.633000,5.505000,5.594000,4.479233,77415490
2019-04-23,5.577000,5.589000,5.446000,5.476000,4.384748,78353226
2019-04-24,5.450000,5.504000,5.362000,5.409000,4.331100,22100004
2019-04-25,5.415000,5.422000,5.324000,5.364000,4.295067,39551318
2019-04-26,5.375000,5.391000,5.303000,5.377000,4.305477,22605828
2019-04-29,5.396000,5.434000,5.354000,5.415000,4.335905,19724333
2019-04-30,5.385000,5.418000,5.303000,5.418000,4.338306,26498664
2019-05-02,5.410000,5.469000,5.342000,5.349000,4.283056,35493815
2019-05-03,5.374000,5.407000,5.286000,5.336000,4.272647,13377010
2019-05-06,5.230000,5.298000,5.206000,5.279000,4.227006,15400333
2019-05-07,5.256000,5.265000,5.141000,5.144000,4.118909,27880429
2019-05-08,5.155000,5.200000,5.105000,5.200000,4.163749,21814177
2019-05-09,5.128000,5.173000,5.065000,5.094000,4.078872,29929358
2019-05-10,5.138000,5.158000,5.040000,5.078000,4.066061,14640973
2019-05-13,5.084000,5.093000,4.966500,4.982500,3.989592,22476479
2019-05-14,5.023000,5.083000,5.001000,5.083000,4.070065,18607230
2019-05-15,5.064000,5.117000,5.008000,5.091000,4.076471,64276239
2019-05-16,5.076000,5.192000,5.045000,5.192000,4.157343,19089404
2019-05-17,5.150000,5.179000,5.090000,5.152000,4.125314,31836316
2019-05-20,5.130000,5.207000,5.053000,5.074000,4.062859,20240369
2019-05-21,5.108000,5.148000,5.071000,5.117000,4.097290,14242427
2019-05-22,5.115000,5.140000,5.000000,5.026000,4.024423,22571724
2019-05-23,4.990000,5.026000,4.955500,4.973500,3.982386,41055174
2019-05-24,4.991500,5.050000,4.969000,5.024000,4.022822,26447612
2019-05-27,5.083000,5.097000,5.011000,5.036000,4.032431,6602808
2019-05-28,5.041000,5.047000,4.956000,5.047000,4.041238,22878669
2019-05-29,4.996000,5.028000,4.948000,4.996500,4.000803,21105010
2019-05-30,5.049000,5.093000,5.033000,5.075000,4.063659,12321189
