Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,3.159000,3.162000,3.104000,3.104000,2.542245,10603568
2019-03-04,3.120000,3.130000,3.096000,3.107000,2.544703,8774791
2019-03-05,3.103000,3.124000,3.074000,3.106000,2.543883,10819678
2019-03-06,3.100000,3.140000,3.090000,3.110000,2.547159,16204189
2019-03-07,3.111000,3.136000,2.970000,2.990000,2.448877,28466453
2019-03-08,2.953000,2.967000,2.890000,2.910000,2.383355,18250903
2019-03-11,2.925000,2.939000,2.885000,2.933000,2.402192,11986260
2019-03-12,2.949000,2.955000,2.913000,2.928000,2.398097,12062210
2019-03-13,2.931000,2.979000,2.925000,2.960000,2.424306,11999980
2019-03-14,2.965000,3.008000,2.951000,2.956000,2.421030,11982208
2019-03-15,2.965000,2.967000,2.935000,2.941000,2.408745,26484678
2019-03-18,2.952000,3.044000,2.950000,3.030000,2.481638,13626843
2019-03-19,3.030000,3.059000,3.018000,3.027000,2.479180,10258882
2019-03-20,3.021000,3.042000,2.923000,2.923000,2.394002,13949581
2019-03-21,2.910000,2.915000,2.844000,2.874000,2.353870,22649224
2019-03-22,2.887000,2.896000,2.784000,2.801000,2.294082,30687059
2019-03-25,2.798000,2.832000,2.765000,2.780000,2.276882,16988231
2019-03-26,2.782000,2.793000,2.745000,2.745000,2.248216,13524540
2019-03-27,2.753000,2.853000,2.738000,2.795000,2.289167,19182437
2019-03-28,2.787000,2.800000,2.743000,2.765000,2.264597,8671865
2019-03-29,2.793000,2.802000,2.763000,2.784000,2.280158,12968998
2019-04-01,2.853000,2.914000,2.803000,2.913000,2.385812,87005614
2019-04-02,2.916000,2.926000,2.854000,2.859000,2.341585,19483277
2019-04-03,2.894000,2.942000,2.885000,2.939000,2.407107,15360407
2019-04-04,2.933000,2.975000,2.908000,2.969000,2.431677,12266956
2019-04-05,2.969000,2.983000,2.924000,2.974000,2.435772,15877334
2019-04-08,2.980000,2.988000,2.951000,2.964000,2.427582,50857940
2019-04-09,2.957000,2.998000,2.935000,2.944000,2.411201,40751151
2019-04-10,2.955000,2.975000,2.874000,2.874000,2.353870,21806032
2019-04-11,2.810000,2.865000,2.767000,2.841000,2.410723,21441687
2019-04-12,2.841000,2.903000,2.796000,2.892000,2.453999,18322319
2019-04-15,2.902000,2.949000,2.884000,2.897000,2.458241,62130772
2019-04-16,2.902000,2.944000,2.893000,2.944000,2.498123,23904104
2019-04-17,2.940000,3.004000,2.933000,2.998000,2.543945,33519022
2019-04-18,3.002000,3.002000,2.921000,2.956000,2.508306,22033239
2019-04-23,2.940000,2.945000,2.857000,2.869000,2.434482,67094543
2019-04-24,2.867000,2.890000,2.798000,2.819000,2.392055,39628440
2019-04-25,2.815000,2.841000,2.783000,2.815000,2.388660,21935743
2019-04-26,2.828000,2.858000,2.802000,2.839000,2.409025,10352749
2019-04-29,2.820000,2.919000,2.810000,2.919000,2.476909,22023790
2019-04-30,2.900000,2.910000,2.787000,2.839000,2.409025,28978753
2019-05-02,2.857000,2.923000,2.819000,2.866000,2.431936,18331015
2019-05-03,2.880000,2.903000,2.858000,2.878000,2.442119,13493332
2019-05-06,2.820000,2.855000,2.803000,2.842000,2.411571,10094843
2019-05-07,2.848000,2.872000,2.792000,2.792000,2.369144,24165015
2019-05-08,2.790000,2.828000,2.760000,2.827000,2.398843,24438320
2019-05-09,2.790000,2.805000,2.757000,2.762000,2.343688,10741620
2019-05-10,2.798000,2.801000,2.745000,2.747000,2.330959,21330880
2019-05-13,2.750000,2.759000,2.712000,2.732000,2.318231,12766820
2019-05-14,2.750000,2.759000,2.702000,2.718000,2.306351,11686823
2019-05-15,2.721000,2.734000,2.670000,2.724000,2.311443,12699038
2019-05-16,2.728000,2.807000,2.710000,2.807000,2.381872,12471594
2019-05-17,2.793000,2.817000,2.764000,2.789000,2.366598,13591663
2019-05-20,2.790000,2.811000,2.754000,2.770000,2.350476,12714106
2019-05-21,2.781000,2.809000,2.746000,2.805000,2.380175,12674071
2019-05-22,2.799000,2.825000,2.771000,2.780000,2.358961,17179797
2019-05-23,2.755000,2.780000,2.736000,2.767000,2.347930,19069104
2019-05-24,2.779000,2.806000,2.762000,2.763000,2.344536,13031097
2019-05-27,2.786000,2.819000,2.768000,2.782000,2.360659,4502323
2019-05-28,2.775000,2.828000,2.741000,2.825000,2.397146,17547955
2019-05-29,2.780000,2.804000,2.756000,2.786000,2.364053,12909088
2019-05-30,2.817000,2.848000,2.807000,2.828000,2.399692,8461391
2019-05-31,2.790000,2.805000,2.751000,2.758000,2.340293,13303909
2019-06-03,2.743000,2.743000,2.685000,2.709000,2.298715,23104249
2019-06-04,2.700000,2.813000,2.699000,2.812000,2.386115,18429167
2019-06-05,2.785000,2.810000,2.703000,2.713000,2.302109,21172302
2019-06-06,2.725000,2.766000,2.637000,2.658000,2.255439,21438411
2019-06-07,2.672000,2.672000,2.602000,2.616000,2.219800,25176399
2019-06-10,2.636000,2.677000,2.619000,2.677000,2.271561,13147779
2019-06-11,2.670000,2.696000,2.630000,2.630000,2.231679,17586815
2019-06-12,2.600000,2.618000,2.581000,2.586000,2.194343,21404445
2019-06-13,2.585000,2.608000,2.551000,2.587000,2.195192,13186521
